Word,Points,Info
1*42/7=6,1,9.01221059291199
1*32/4=8,1,9.009561490003415
1*42/6=7,1,9.002644987304015
1*32/8=4,1,9.002523121185906
1*24/3=8,1,9.000044232903724
4*12/6=8,1,8.991053349723312
4*12/8=6,1,8.98813947192838
1*24/8=3,1,8.984224314889115
2*16/4=8,1,8.971440153949379
1*72/9=8,1,8.963517284763517
1*63/7=9,1,8.96340965689616
2*16/8=4,1,8.963358208343566
3*24/9=8,1,8.962321028087779
1*63/9=7,1,8.958174748224042
1*72/8=9,1,8.95664514669481
1*36/9=4,1,8.956399191955558
1*36/4=9,1,8.955617961417456
1*54/9=6,1,8.954991325975563
3*24/8=9,1,8.954416652373745
3*12/9=4,1,8.952742381363086
3*12/4=9,1,8.95269783016193
3*14/7=6,1,8.950805027771478
1*54/6=9,1,8.950782630893615
6*12/9=8,1,8.941281376701355
6*8/12=4,1,8.940758996475061
3*14/6=7,1,8.940702620777056
4*8/16=2,1,8.939861202610391
2*36/9=8,1,8.938706282347814
1*28/7=4,1,8.937461830260641
6*12/8=9,1,8.93604156159442
8*6/12=4,1,8.935692441457771
1*28/4=7,1,8.93548963974652
2*36/8=9,1,8.932194784523139
1*56/7=8,1,8.93207365159251
3*21/7=9,1,8.927342083556102
8*4/16=2,1,8.924831219240652
3*21/9=7,1,8.924084736958806
6/12*8=4,1,8.920168020317757
1*56/8=7,1,8.91989567682756
8/12*6=4,1,8.919769843634377
1*27/3=9,1,8.919354474415654
1*27/9=3,1,8.909768790152963
4*9/18=2,1,8.907018333174276
4*8/32=1,1,8.906098879581595
9*8/12=6,1,8.904659318133758
3*8/24=1,1,8.902517849935958
4*9/12=3,1,8.900394951114077
9*8/36=2,1,8.90034497799728
8*9/12=6,1,8.899456982709934
9*8/24=3,1,8.899186850349237
9*4/18=2,1,8.89786431468675
2*18/4=9,1,8.897513522994887
4/16*8=2,1,8.897458289491455
8/16*4=2,1,8.896452832213459
8*9/36=2,1,8.895875396953452
2*18/9=4,1,8.89519202511259
6/42*7=1,1,8.894182835554375
7*6/14=3,1,8.894017898284975
8*9/24=3,1,8.893474125650066
7/42*6=1,1,8.893454260184386
9*4/12=3,1,8.892973262298487
6*7/14=3,1,8.890928549421014
8/32*4=1,1,8.889978706747954
4/32*8=1,1,8.889573475552172
8*4/32=1,1,8.888511784193552
7*6/42=1,1,8.888428996213262
9/12*4=3,1,8.885268092486182
6*7/42=1,1,8.885206741549982
4*9/36=1,1,8.884382011763321
9/12*8=6,1,8.883672755484037
1/8*32=4,1,8.883392546824274
9/24*8=3,1,8.88210142011163
4/8*12=6,1,8.880713923569674
4*7/28=1,1,8.880692747400419
4/12*9=3,1,8.880598080556979
1+42/6=8,1,8.88051352978108
3/24*8=1,1,8.880237518902403
2/8*16=4,1,8.880223513665621
8/24*3=1,1,8.879990522499739
3*18/9=6,1,8.879637996642703
4/6*12=8,1,8.879237086595431
1/4*32=8,1,8.87813830538864
8/12*9=6,1,8.877753212341688
2/4*16=8,1,8.877623024597272
8/24*9=3,1,8.877457254450986
8*3/24=1,1,8.875396851401552
6*9/18=3,1,8.874355323130866
1/8*24=3,1,8.873743971051127
6/14*7=3,1,8.873071644975608
3*18/6=9,1,8.872576780710714
7*4/28=1,1,8.872551107893162
7/14*6=3,1,8.872132219371842
9*6/18=3,1,8.872116780204964
